kingdom,scientificName,class,order,family,genus,species,phylum,domain
,Plasmodium chabaudi,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),pcb,,
,Plasmodium berghei,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),pbe,,
,Plasmodium knowlesi,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),pkn,,
,Plasmodium vivax,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),pvx,,
,Plasmodium cynomolgi,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),pcy,,
,Theileria annulata,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),tan,,
,Theileria parva,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),tpv,,
,Theileria orientalis,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),tot,,
,Theileria equi,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),beq,,
,Babesia bovis,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),bbo,,
,Cryptosporidium parvum,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),cpv,,
,Cryptosporidium hominis,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),cho,,
,Toxoplasma gondii,Eukaryotes (361),Protists (49),Alveolates (20),Apicomplexans (17),tgo,,
,Tetrahymena thermophila,Eukaryotes (361),Protists (49),Alveolates (20),Ciliates (2),tet,,
,Paramecium tetraurelia,Eukaryotes (361),Protists (49),Alveolates (20),Ciliates (2),ptm,,
,Symbiodinium minutum,Eukaryotes (361),Protists (49),Alveolates (20),Dinoflagellates (1),smin,,
,Phaeodactylum tricornutum,Eukaryotes (361),Protists (49),Stramenopiles (8),Diatoms (3),pti,,
,Fragilariopsis cylindrus,Eukaryotes (361),Protists (49),Stramenopiles (8),Diatoms (3),fcy,,
,Thalassiosira pseudonana,Eukaryotes (361),Protists (49),Stramenopiles (8),Diatoms (3),tps,,
,Aureococcus anophagefferens,Eukaryotes (361),Protists (49),Stramenopiles (8),Pelagophytes (1),aaf,,
,Nannochloropsis gaditana,Eukaryotes (361),Protists (49),Stramenopiles (8),Eustigmatophytes (1),ngd,,
,Phytophthora infestans,Eukaryotes (361),Protists (49),Stramenopiles (8),Oomycetes (3),pif,,
,Phytophthora sojae,Eukaryotes (361),Protists (49),Stramenopiles (8),Oomycetes (3),psoj,,
,Saprolegnia parasitica,Eukaryotes (361),Protists (49),Stramenopiles (8),Oomycetes (3),spar,,
,Trypanosoma brucei,Eukaryotes (361),Protists (49),Euglenozoa (7),Kinetoplasts (7),tbr,,
,Trypanosoma cruzi,Eukaryotes (361),Protists (49),Euglenozoa (7),Kinetoplasts (7),tcr,,
,Leishmania major,Eukaryotes (361),Protists (49),Euglenozoa (7),Kinetoplasts (7),lma,,
,Leishmania infantum,Eukaryotes (361),Protists (49),Euglenozoa (7),Kinetoplasts (7),lif,,
,Leishmania donovani,Eukaryotes (361),Protists (49),Euglenozoa (7),Kinetoplasts (7),ldo,,
,Leishmania mexicana,Eukaryotes (361),Protists (49),Euglenozoa (7),Kinetoplasts (7),lmi,,
,Leishmania braziliensis,Eukaryotes (361),Protists (49),Euglenozoa (7),Kinetoplasts (7),lbz,,
,Naegleria gruberi,Eukaryotes (361),Protists (49),Heterolobosea (1),Amoeboflagellate (1),ngr,,
,Trichomonas vaginalis,Eukaryotes (361),Protists (49),Parabasalids (1),Trichomonads (1),tva,,
,Escherichia coli K-12 MG1655,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eco,,
,Escherichia coli K-12 W3110,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecj,,
,Escherichia coli K-12 DH10B,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecd,,
,Escherichia coli BW2952,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ebw,,
,Escherichia coli K-12 MDS42,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecok,,
,Escherichia coli O157:H7 EDL933 (EHEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ece,,
,Escherichia coli O157:H7 Sakai (EHEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecs,,
,Escherichia coli O157:H7 EC4115 (EHEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecf,,
,Escherichia coli O157:H7 TW14359 (EHEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),etw,,
,Escherichia coli O157:H7 Xuzhou21 (EHEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),elx,,
,Escherichia coli O26:H11 11368 (EHEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eoj,,
,Escherichia coli O111:H- 11128 (EHEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eoi,,
,Escherichia coli O103:H2 12009 (EHEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eoh,,
,Escherichia coli O127:H6 E2348/69 (EPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecg,,
,Escherichia coli O55:H7 CB9615 (EPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eok,,
,Escherichia coli O55:H7 RM12579 (EPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),elr,,
,Escherichia coli O6:K2:H1 CFT073 (UPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecc,,
,Escherichia coli O6:K15:H31 536 (UPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecp,,
,Escherichia coli O18:K1:H7 UTI89 (UPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eci,,
,Escherichia coli APEC O1 (APEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecv,,
,Escherichia coli O9 HS (commensal),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecx,,
,Escherichia coli E24377A (ETEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecw,,
,Escherichia coli SMS-3-5 (environmental),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecm,,
,Escherichia coli O152:H28 SE11 (commensal),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecy,,
,Escherichia coli O8 IAI1 (commensal),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecr,,
,Escherichia coli O81 ED1a (commensal),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecq,,
,Escherichia coli 55989 (EAEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eck,,
,Escherichia coli O7:K1 IAI39 (ExPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ect,,
,Escherichia coli O7:K1 CE10,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eoc,,
,Escherichia coli O17:K52:H18 UMN026 (ExPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eum,,
,Escherichia coli O45:K1:H7 S88 (ExPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecz,,
,Escherichia coli O44:H18 042 (EAEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),elo,,
,Escherichia coli O83:H1 NRG 857C,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eln,,
,Escherichia coli O78:H11:K80 H10407 (ETEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),elh,,
,Escherichia coli O150:H5 SE15 (commensal),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ese,,
,Escherichia coli O104:H4 2009EL-2071,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eso,,
,Escherichia coli O104:H4 2009EL-2050,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),esm,,
,Escherichia coli O104:H4 2011C-3493,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),esl,,
,Escherichia coli ATCC 8739,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecl,,
,Escherichia coli B REL606,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ebr,,
,Escherichia coli BL21-Gold(DE3)pLysS AG,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ebd,,
,Escherichia coli KO11FL,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eko,,
,Escherichia coli KO11FL,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ekf,,
,Escherichia coli ABU 83972,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eab,,
,Escherichia coli DH1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),edh,,
,Escherichia coli DH1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),edj,,
,Escherichia coli IHE3034,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eih,,
,Escherichia coli NA114 (UPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ena,,
,Escherichia coli UM146,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),elu,,
,Escherichia coli UMNK88,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eun,,
,Escherichia coli W,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),elw,,
,Escherichia coli W,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ell,,
,Escherichia coli clone D i14,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),elc,,
,Escherichia coli clone D i2,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eld,,
,Escherichia coli P12b,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),elp,,
,Escherichia coli BL21(DE3),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ebl,,
,Escherichia coli BL21(DE3),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ebe,,
,Escherichia coli LF82,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),elf,,
,Escherichia coli APEC O78,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecoa,,
,Escherichia coli LY180,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecol,,
,Escherichia coli PMV-1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecoi,,
,Escherichia coli JJ1886,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecoj,,
,Escherichia coli O145:H28 RM13514 (EHEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecoo,,
,Escherichia coli O145:H28 RM13516 (EHEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecoh,,
,Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC),Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),ecos,,
,Escherichia fergusonii,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),efe,,
,Escherichia albertii,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Escherichia (67),eal,,
,Salmonella enterica subsp. enterica serovar Typhi CT18,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sty,,
,Salmonella enterica subsp. enterica serovar Typhi Ty2,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),stt,,
,Salmonella enterica subsp. enterica serovar Typhi P-stx-12,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sex,,
,Salmonella enterica subsp. enterica serovar Typhi Ty21a,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sent,,
,Salmonella enterica subsp. enterica serovar Typhimurium LT2,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),stm,,
,Salmonella enterica subsp. enterica serovar Typhimurium 14028S,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seo,,
,Salmonella enterica subsp. enterica serovar Typhimurium D23580,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sev,,
,Salmonella enterica subsp. enterica serovar Typhimurium SL1344,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sey,,
,Salmonella enterica subsp. enterica serovar Typhimurium T000240,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sem,,
,Salmonella enterica subsp. enterica serovar Typhimurium UK-1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sej,,
,Salmonella enterica subsp. enterica serovar Typhimurium ST4/74,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seb,,
,Salmonella enterica subsp. enterica serovar Typhimurium 798,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sef,,
,Salmonella enterica subsp. enterica serovar Typhimurium U288,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),setu,,
,Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),setc,,
,Salmonella enterica subsp. enterica serovar Typhimurium DT2,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),senr,,
,Salmonella enterica subsp. enterica serovar Typhimurium DT104,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),send,,
,Salmonella enterica subsp. enterica serovar Typhimurium 138736,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seni,,
,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736",Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seen,,
,Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),spt,,
,Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sek,,
,Salmonella enterica subsp. enterica serovar Paratyphi B,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),spq,,
,Salmonella enterica subsp. enterica serovar Paratyphi C,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sei,,
,Salmonella enterica subsp. enterica serovar Choleraesuis,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sec,,
,Salmonella enterica subsp. enterica serovar Heidelberg SL476,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seh,,
,Salmonella enterica subsp. enterica serovar Heidelberg B182,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),shb,,
,Salmonella enterica subsp. enterica Serovar Heidelberg CFSAN002069,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),senh,,
,Salmonella enterica subsp. enterica serovar Heidelberg 41578,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seeh,,
,Salmonella enterica subsp. enterica serovar Newport SL254,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),see,,
,Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),senn,,
,Salmonella enterica subsp. enterica serovar Schwarzengrund,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sew,,
,Salmonella enterica subsp. enterica serovar Agona SL483,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sea,,
,Salmonella enterica subsp. enterica serovar Agona 24249,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sens,,
,Salmonella enterica subsp. enterica serovar Dublin,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sed,,
,Salmonella enterica subsp. enterica serovar Gallinarum 287/91,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seg,,
,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sel,,
,Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sega,,
,Salmonella enterica subsp. enterica serovar Enteritidis P125109,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),set,,
,Salmonella enterica subsp. enterica serovar Enteritidis EC20090135,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),sena,,
,Salmonella enterica subsp. enterica serovar Enteritidis EC20090193,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seno,,
,Salmonella enterica subsp. enterica serovar Enteritidis EC20090332,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),senv,,
,Salmonella enterica subsp. enterica serovar Enteritidis EC20090531,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),senq,,
,Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),senl,,
,Salmonella enterica subsp. enterica serovar Javiana,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),senj,,
,Salmonella enterica subsp. enterica Serovar Cubana,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seec,,
,Salmonella enterica subsp. enterica serovar Bareilly,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seeb,,
,Salmonella enterica subsp. enterica serovar Pullorum,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),seep,,
,Salmonella enterica subsp. enterica serovar Bovismorbificans,Prokaryotes (4421),Bacteria (4172),Gammaproteobacteria - Enterobacteria (406),Salmonella (53),senb,,
